variable	value
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	11.11111111
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	11.11111111
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	11.11111111
permut	7.407407407
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	11.11111111
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	11.11111111
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	11.11111111
permut	11.11111111
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	7.407407407
permut	11.11111111
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	11.11111111
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	11.11111111
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	11.11111111
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	14.81481481
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	7.407407407
permut	7.407407407
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	7.407407407
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	11.11111111
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	11.11111111
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	7.407407407
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	11.11111111
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	11.11111111
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	7.407407407
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	14.81481481
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	11.11111111
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	7.407407407
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	0
permut	3.703703704
permut	7.407407407
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	7.407407407
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	11.11111111
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	7.407407407
permut	7.407407407
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	0
permut	3.703703704
permut	0
permut	7.407407407
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	3.703703704
permut	0
permut	3.703703704
permut	3.703703704
permut	0
permut	0
permut	0
permut	3.703703704
permut	3.703703704
permut	3.703703704
